Date,atwopen,atwclose,atwlow,atwhigh,atwvolume
2018-08-28,470.0,470.0,470.0,474.0,16117
2018-08-29,469.0,469.0,469.0,470.0,13884
2018-08-30,473.0,473.0,469.0,473.0,228008
2018-08-31,470.0,463.0,463.0,470.0,11076
2018-09-04,462.0,460.0,455.0,462.0,44431
2018-09-05,455.04998779296875,454.8500061035156,454.8500061035156,456.0,47909
2018-09-06,454.95001220703125,452.0,451.95001220703125,454.95001220703125,48909
2018-09-07,455.0,448.0,448.0,455.0,74620
2018-09-10,444.0,440.1499938964844,440.1499938964844,444.0,7289
2018-09-11,440.1499938964844,440.1499938964844,440.1499938964844,440.1499938964844,0
2018-09-12,441.0,443.1000061035156,441.0,444.0,30704
2018-09-13,443.20001220703125,450.0,443.1000061035156,457.95001220703125,12296
2018-09-14,446.0,448.0,446.0,453.0,49315
2018-09-17,445.04998779296875,446.0,445.04998779296875,446.0,4505
2018-09-18,446.0,447.70001220703125,446.0,448.5,25980
2018-09-19,446.0,448.0,446.0,448.0,12826
2018-09-20,450.0,452.0,450.0,459.5,92513
2018-09-21,450.5,451.0,450.0,454.0,41918
2018-09-24,447.0,446.1000061035156,446.0,447.0,10529
2018-09-25,446.20001220703125,454.5,446.0,454.5,16057
2018-09-26,447.25,460.0,447.25,460.0,34483
2018-09-27,452.0,452.0,452.0,459.0,26266
2018-09-28,452.0,450.0,446.04998779296875,452.0,106149
2018-10-01,447.04998779296875,447.04998779296875,447.04998779296875,448.0,8885
2018-10-02,447.04998779296875,446.6000061035156,446.5,447.04998779296875,15509
2018-10-03,446.0,446.1000061035156,446.0,446.1000061035156,23922
2018-10-04,445.04998779296875,445.1000061035156,445.0,449.8999938964844,1870
2018-10-05,446.0,444.0,444.0,446.0,8000
2018-10-08,445.0,443.1000061035156,440.0,445.0,1808
2018-10-09,443.1000061035156,449.0,443.0,449.0,21607
2018-10-10,449.0,443.0,443.0,449.0,4100
2018-10-11,441.0,441.0,441.0,441.0,1778
2018-10-12,445.0,441.0,441.0,445.0,23985
2018-10-15,441.04998779296875,444.0,441.0,444.0,2013
2018-10-16,441.0,441.0,440.04998779296875,442.0,26509
2018-10-17,440.0,441.0,440.0,441.0,130
2018-10-18,440.0,440.8999938964844,430.04998779296875,440.8999938964844,5508
2018-10-19,435.70001220703125,435.0,435.0,438.5,26216
2018-10-22,435.0,442.0,435.0,442.0,60434
2018-10-23,437.0,433.8999938964844,430.0,440.0,93663
2018-10-24,430.0,431.0,430.0,431.0,36781
2018-10-25,431.0,431.1000061035156,431.0,431.5,32813
2018-10-26,430.20001220703125,430.25,430.1499938964844,434.8999938964844,4054
2018-10-29,433.0,430.20001220703125,430.0,433.0,405
2018-10-30,430.0,426.0,425.1000061035156,430.0,27201
2018-10-31,426.1000061035156,416.5,416.5,426.1000061035156,25102
2018-11-01,425.95001220703125,416.70001220703125,416.5,426.0,38110
2018-11-02,420.0,420.0,417.0,420.0,13853
2018-11-05,421.0,420.0,420.0,432.04998779296875,7055
2018-11-06,420.0,420.0,420.0,420.0,0
2018-11-07,420.0,427.04998779296875,420.0,429.6499938964844,27846
2018-11-08,430.0,433.0,430.0,433.0,36491
2018-11-09,431.04998779296875,441.6499938964844,431.04998779296875,441.6499938964844,27669
