Date,clrbopen,clrbclose,clrblow,clrbhigh,clrbvolume
2008-01-02,180540.0,183600.0,180540.0,189720.0,0.0
2008-01-03,192780.0,186660.0,183600.0,192780.0,0.0
2008-01-04,183600.0,186660.0,177480.0,186660.0,0.0
2008-01-07,183600.0,183600.0,183600.0,183600.0,0.0
2008-01-08,183600.0,208080.0,183600.0,220320.0,0.0
2008-01-09,214200.0,229500.0,214200.0,244800.0,0.0
2008-01-10,229500.0,220320.0,195840.0,238680.0,0.0
2008-01-11,217260.0,214200.0,208080.0,217260.0,0.0
2008-01-14,232560.0,220320.0,220320.0,238680.0,0.0
2008-01-15,226440.0,238680.0,220320.0,238680.0,0.0
2008-01-16,250920.0,229500.0,226440.0,250920.0,0.0
2008-01-17,244800.0,229500.0,229500.0,244800.0,0.0
2008-01-18,229500.0,232560.0,223380.0,232560.0,0.0
2008-01-22,229500.0,229500.0,214200.0,229500.0,0.0
2008-01-23,220320.0,229500.0,211140.0,229500.0,0.0
2008-01-24,232560.0,226440.0,226440.0,232560.0,0.0
2008-01-25,229500.0,235620.0,226440.0,235620.0,0.0
2008-01-28,244800.0,238680.0,232560.0,244800.0,0.0
2008-01-29,235620.0,217260.0,217260.0,238680.0,0.0
2008-01-30,235620.0,229500.0,223380.0,244800.0,0.0
2008-01-31,232560.0,241740.0,229500.0,241740.0,0.0
2008-02-01,238680.0,214200.0,214200.0,241740.0,0.0
2008-02-04,223380.0,229500.0,217260.0,238680.0,0.0
2008-02-05,229500.0,223380.0,223380.0,238680.0,0.0
2008-02-06,223380.0,229500.0,223380.0,235620.0,0.0
2008-02-07,232560.0,214200.0,214200.0,235620.0,0.0
2008-02-08,235620.0,235620.0,214200.0,235620.0,0.0
2008-02-11,235620.0,238680.0,235620.0,238680.0,0.0
2008-02-12,241740.0,211140.0,211140.0,241740.0,0.0
2008-02-13,214200.0,214200.0,214200.0,214200.0,0.0
2008-02-14,214200.0,214200.0,205020.0,217260.0,0.0
2008-02-15,217260.0,214200.0,205020.0,217260.0,0.0
2008-02-19,211140.0,211140.0,205020.0,217260.0,0.0
2008-02-20,205020.0,189720.0,177480.0,205020.0,0.0
2008-02-21,192780.0,153000.0,146880.0,195840.0,0.0
2008-02-22,159120.0,159120.0,153000.0,171360.0,0.0
2008-02-25,171360.0,149940.0,143820.0,171360.0,0.0
2008-02-26,162180.0,168300.0,156060.0,168300.0,0.0
2008-02-27,168300.0,174420.0,168300.0,180540.0,0.0
2008-02-28,174420.0,180540.0,174420.0,180540.0,0.0
2008-02-29,180540.0,183600.0,177480.0,183600.0,0.0
2008-03-03,177480.0,180540.0,177480.0,180540.0,0.0
2008-03-04,180540.0,183600.0,180540.0,183600.0,0.0
2008-03-05,186660.0,183600.0,183600.0,186660.0,0.0
2008-03-06,186660.0,208080.0,186660.0,208080.0,0.0
2008-03-07,208080.0,220320.0,208080.0,220320.0,0.0
2008-03-10,220320.0,211140.0,198900.0,232560.0,0.0
2008-03-11,211140.0,214200.0,211140.0,214200.0,0.0
2008-03-12,214200.0,214200.0,211140.0,232560.0,0.0
2008-03-13,214200.0,214200.0,214200.0,229500.0,0.0
2008-03-14,223380.0,220320.0,220320.0,223380.0,0.0
2008-03-17,214200.0,214200.0,198900.0,214200.0,0.0
2008-03-18,214200.0,226440.0,214200.0,226440.0,0.0
2008-03-19,205020.0,198900.0,198900.0,226440.0,0.0
2008-03-20,211140.0,201960.0,201960.0,220320.0,0.0
2008-03-24,201960.0,198900.0,189720.0,211140.0,0.0
2008-03-25,195840.0,174420.0,174420.0,198900.0,0.0
2008-03-26,174420.0,162180.0,162180.0,177480.0,0.0
2008-03-27,174420.0,159120.0,153000.0,205020.0,0.0
2008-03-28,168300.0,134640.0,131580.0,168300.0,0.0
2008-03-31,149940.0,146880.0,140760.0,189720.0,0.0
2008-04-01,156060.0,177480.0,143820.0,177480.0,0.0
2008-04-02,162180.0,162180.0,153000.0,177480.0,0.0
2008-04-03,180540.0,153000.0,146880.0,180540.0,0.0
2008-04-04,165240.0,177480.0,156060.0,177480.0,0.0
2008-04-07,174420.0,177480.0,174420.0,195840.0,0.0
2008-04-08,177480.0,180540.0,177480.0,180540.0,0.0
2008-04-09,168300.0,177480.0,162180.0,180540.0,0.0
2008-04-10,168300.0,168300.0,168300.0,177480.0,0.0
2008-04-11,180540.0,146880.0,146880.0,180540.0,0.0
2008-04-14,153000.0,140760.0,134640.0,153000.0,0.0
2008-04-15,140760.0,153000.0,134640.0,153000.0,0.0
2008-04-16,156060.0,159120.0,156060.0,162180.0,0.0
2008-04-17,162180.0,168300.0,162180.0,174420.0,0.0
2008-04-18,168300.0,168300.0,162180.0,171360.0,0.0
2008-04-21,168300.0,168300.0,156060.0,174420.0,0.0
2008-04-22,168300.0,168300.0,153000.0,174420.0,0.0
2008-04-23,168300.0,174420.0,165240.0,174420.0,0.0
2008-04-24,174420.0,180540.0,165240.0,189720.0,0.0
2008-04-25,180540.0,183600.0,180540.0,189720.0,0.0
2008-04-28,183600.0,171360.0,171360.0,183600.0,0.0
2008-04-29,180540.0,171360.0,171360.0,180540.0,0.0
2008-04-30,168300.0,180540.0,165240.0,180540.0,0.0
2008-05-01,180540.0,177480.0,177480.0,180540.0,0.0
2008-05-02,177480.0,177480.0,177480.0,180540.0,0.0
2008-05-05,180540.0,177480.0,177480.0,180540.0,0.0
2008-05-06,180540.0,171360.0,171360.0,180540.0,0.0
2008-05-07,171360.0,171360.0,171360.0,177480.0,0.0
2008-05-08,168300.0,174420.0,168300.0,174420.0,0.0
2008-05-09,168300.0,168300.0,168300.0,168300.0,0.0
2008-05-12,168300.0,180540.0,168300.0,180540.0,0.0
2008-05-13,180540.0,171360.0,171360.0,180540.0,0.0
2008-05-14,171360.0,174420.0,171360.0,180540.0,0.0
2008-05-15,180540.0,180540.0,180540.0,180540.0,0.0
2008-05-16,177480.0,180540.0,177480.0,180540.0,0.0
2008-05-19,183600.0,168300.0,168300.0,183600.0,0.0
2008-05-20,177480.0,165240.0,156060.0,177480.0,0.0
2008-05-21,168300.0,168300.0,159120.0,168300.0,0.0
2008-05-22,159120.0,159120.0,156060.0,165240.0,0.0
2008-05-23,156060.0,168300.0,156060.0,168300.0,0.0
2008-05-27,159120.0,156060.0,156060.0,159120.0,0.0
2008-05-28,156060.0,156060.0,156060.0,168300.0,0.0
2008-05-29,156060.0,162180.0,153000.0,162180.0,0.0
2008-05-30,162180.0,162180.0,149940.0,162180.0,0.0
2008-06-02,162180.0,183600.0,162180.0,183600.0,0.0
2008-06-03,183600.0,174420.0,159120.0,183600.0,0.0
2008-06-04,174420.0,183600.0,174420.0,183600.0,0.0
2008-06-05,168300.0,180540.0,168300.0,183600.0,0.0
2008-06-06,180540.0,162180.0,162180.0,180540.0,0.0
2008-06-09,162180.0,162180.0,162180.0,168300.0,0.0
2008-06-10,171360.0,171360.0,162180.0,171360.0,0.0
2008-06-11,171360.0,156060.0,156060.0,171360.0,0.0
2008-06-12,168300.0,156060.0,156060.0,168300.0,0.0
2008-06-13,153000.0,153000.0,153000.0,153000.0,0.0
2008-06-16,156060.0,168300.0,156060.0,168300.0,0.0
2008-06-17,168300.0,168300.0,156060.0,168300.0,0.0
2008-06-18,159120.0,168300.0,159120.0,168300.0,0.0
2008-06-19,156060.0,168300.0,156060.0,168300.0,0.0
2008-06-20,162180.0,153000.0,153000.0,162180.0,0.0
2008-06-23,153000.0,162180.0,153000.0,162180.0,0.0
2008-06-24,165240.0,162180.0,149940.0,168300.0,0.0
2008-06-25,168300.0,171360.0,159120.0,171360.0,0.0
2008-06-26,171360.0,156060.0,156060.0,171360.0,0.0
2008-06-27,156060.0,162180.0,156060.0,162180.0,0.0
2008-06-30,168300.0,153000.0,153000.0,168300.0,0.0
2008-07-01,153000.0,165240.0,149940.0,165240.0,0.0
2008-07-02,149940.0,165240.0,149940.0,165240.0,0.0
2008-07-03,162180.0,162180.0,162180.0,162180.0,0.0
2008-07-07,156060.0,159120.0,149940.0,162180.0,0.0
2008-07-08,159120.0,153000.0,149940.0,159120.0,0.0
2008-07-09,153000.0,153000.0,146880.0,153000.0,0.0
2008-07-10,165240.0,165240.0,165240.0,165240.0,0.0
2008-07-11,165240.0,165240.0,165240.0,165240.0,0.0
2008-07-14,165240.0,165240.0,165240.0,165240.0,0.0
2008-07-15,140760.0,159120.0,140760.0,159120.0,0.0
2008-07-16,153000.0,153000.0,153000.0,159120.0,0.0
